M	I	Q	A	RL
6.33	16	7.5	30	3.55
6.32	10	7.5	30	2.88
5.56	10	7.5	30	3.51
7.87	16	7.5	30	2.46
6.11	10	15	60	2.25
3.27	9	15	60	7.58
5.27	11	13	52	2.77
5.11	11	7.5	20	5.81
4.57	1	7.5	30	5.56
13.99	10	7.5	40	1.66
7.16	10	7.5	52	1.51
4.05	6	7.5	38	5.71
7.8	6	7.5	22	2.3
10.67	21	7.5	24	2.1
6.88	14	7.5	72	3.21
5.55	10	7.5	40	5.41
6.76	9	11	40	3.84
6.2	10	7.5	48	1.58
5.93	10	7.5	48	4.17
5.92	29	7.5	22	5.45
2.71	5	7.5	30	9.35
6.48	11	7.5	30	3.23
6.32	11	7.5	30	3.85
3.72	8	7.5	20	2.91
12.88	9	7.5	55	6.58
3.81	6	7.5	22	2.45
3.89	8	7.5	22	5.33
5.95	8	10	32	3.12
6.11	5	7.5	22	4.22
10.73	6	7.5	22	1.91
5.11	12	7.5	22	5.2
10.02	6	7.5	22	3.67
4.89	6	7.5	22	5.63
5.9	4	7.5	30	3.97
5.16	4	7.5	30	3.31
5.26	4	7.5	30	4.51
4.72	9	11	40	3.98
5.07	12	11	60	2.27
3.67	11	11	50	6.83
3.12	19	11	65	2.78
6.69	1	15	65	3.76
7.56	9	11	45	3.99
5.44	1	11	55	4.84
6.05	3	11	55	3.44
2.96	7	11	55	2.77
3.05	15	9.2	30	2.88
3.12	11	13	45	2.06
4.45	12	9.2	40	5.25
6.42	14	11	39	5.45
5.08	12	7.5	40	4.33
5.21	2	11	40	4.39
3.05	10	13	50	2.29
5.12	12	13	40	4.36
5.53	8	7.5	40	4.94
3.48	6	11	33	3.22
3.56	10	7.5	20	6.53
3.34	10	11	30	7.9
2.12	12	9	25	8.4
3.16	11	8.8	15	7.83
1.21	11	7.5	40	12.57
1.08	12	12	15	13.56
6.78	22	7.5	20	3.42
2.78	11	11	30	7.84
3.3	6	11	30	4.32
5.94	3	7.5	80	4.94
2.61	3	7.5	52	7.74
3.57	4	11	33	8.97
6.94	10	7.5	30	3.43
2.46	4	11	33	8.03
3.07	13	7.5	30	7.12
3.71	14	7.5	30	6.9
3.59	8	7.5	30	6.74
3.26	10	7.5	30	7.18
6.13	9	13	30	4.77
4.73	2	7.5	30	5.49
5.14	11	11	30	4.53
4.05	12	11.5	30	5.57
6.95	11	7.5	25	2.99
2.12	6	7.5	25	9.86
2.32	10	7.5	25	8.81
2.58	9	7.5	25	8.67
1.89	12	7.5	25	10.2
4.15	12	11	30	1.17
6.37	11	15	30	3.97
2.46	10	7.5	25	9.01
8	9	11	30	1.24
2.44	5	7.5	25	8.57
7.07	16	7.5	25	2.68
1.63	10	7.5	25	9.82
6.77	5	7.5	25	3.87
4.09	6	11	30	3.19
1.78	5	11	30	9.42
6.48	22	8	30	4.15
10.19	17	11	30	5.34
7.3	14	20	65	4.89
7	16	20	65	1.99
2.35	13	11	36	9.41
10.35	13	7.5	42	2.44
3.7	5	7.5	42	2.36
9.92	9	7.5	52	6.5
6.44	8	7.5	42	5.12
9.76	2	13	67	4.13
5.18	8	7.5	52	4.23
11.78	1	7.5	42	7.16
9.95	9	7.5	67	4.51
10.67	10	5.5	42	3.6
1.98	10	7.5	22	27.1
2.52	11	7.5	36	11.57
1.9	12	7.5	36	10.78
4.34	9	9.2	42	5.24
9.86	8	11	52	1.4
7.42	13	7.5	36	2.84
7.99	14	11	36	5.99
